Plant,Type,Rep,"Treatment, % herbicide",Percent necrosis
Triclopyr,Wild type,1,0%,0.00%
Triclopyr,Wild type,2,0%,0.00%
Triclopyr,Wild type,3,0%,0.00%
Triclopyr,Wild type,4,0%,0.04%
Triclopyr,Wild type,1,100%,100.00%
Triclopyr,Wild type,2,100%,69.00%
Triclopyr,Wild type,3,100%,100.00%
Triclopyr,Wild type,4,100%,26.90%
Triclopyr,Wild type,1,43%,11.10%
Triclopyr,Wild type,2,43%,81.60%
Triclopyr,Wild type,3,43%,73.30%
Triclopyr,Wild type,4,43%,15.90%
Triclopyr,Wild type,1,33%,1.20%
Triclopyr,Wild type,2,33%,0.80%
Triclopyr,Wild type,3,33%,0.70%
Triclopyr,Wild type,4,33%,16.00%
Triclopyr,VD3,2,0%,0%
Triclopyr,VD3,3,0%,0%
Triclopyr,VD3,4,0%,0%
Triclopyr,VD3,1,100%,100.00%
Triclopyr,VD3,2,100%,73.30%
Triclopyr,VD3,3,100%,100.00%
Triclopyr,VD3,4,100%,100.00%
Triclopyr,VD3,1,43%,100.00%
Triclopyr,VD3,2,43%,100.00%
Triclopyr,VD3,3,43%,86.30%
Triclopyr,VD3,4,43%,17.50%
Triclopyr,VD3,1,33%,87.40%
Triclopyr,VD3,2,33%,8.20%
Triclopyr,VD3,3,33%,56.30%
Triclopyr,VD3,4,33%,22.10%
Glyphosate,Wild type,1,0.00%,0.00%
Glyphosate,Wild type,2,0.00%,0.00%
Glyphosate,Wild type,3,0.00%,0.00%
Glyphosate,Wild type,4,0.04%,0.00%
Glyphosate,Wild type,1,100%,0.00%
Glyphosate,Wild type,2,100%,1.10%
Glyphosate,Wild type,3,100%,0.00%
Glyphosate,Wild type,4,100%,0.20%
Glyphosate,Wild type,1,33%,0.00%
Glyphosate,Wild type,2,33%,0.10%
Glyphosate,Wild type,3,33%,0.00%
Glyphosate,Wild type,4,33%,0.00%
Glyphosate,Wild type,1,1%,0.00%
Glyphosate,Wild type,2,1%,0.00%
Glyphosate,Wild type,3,1%,100.00%
Glyphosate,Wild type,4,1%,0.00%
Glyphosate,VD3,2,0%,0
Glyphosate,VD3,3,0%,0
Glyphosate,VD3,4,0%,0
Glyphosate,VD3,1,100%,23.00%
Glyphosate,VD3,2,100%,0.60%
Glyphosate,VD3,3,100%,30.00%
Glyphosate,VD3,4,100%,3.70%
Glyphosate,VD3,2,33%,20.40%
Glyphosate,VD3,3,33%,19.60%
Glyphosate,VD3,4,33%,0.00%
Glyphosate,VD3,1,1%,0.10%
Glyphosate,VD3,2,1%,0.00%
Glyphosate,VD3,3,1%,0.00%
Glyphosate,VD3,4,1%,20.40%
